Objective,Action,Progress
1.3.1,"Lead in the development of new affordable housing types, as well as construction methods that incorporate innovative solutions to issues of form, function, and maintenance.","HAND facilitated two Deep Dive presentations at the Sorenson Impact Center’s Winter Innovation Summit 2019, regarding the topics of: Solutions to Effective Housing Affordability and Healthcare-Funded Housing Investments."
1.3.2,Establish partnerships with housing industry leaders to construct innovative and affordable developments.,"HAND and the RDA routinely meet with affordable development partners who specialize in affordable housing. Additionally, in 2019 an Affordable Housing Residential Development Guide was created by the City to support existing and new affordable developers.    "
