Objective,Action,Progress
2.2.1,"Propose a significant, long-term, and sustainable funding source for the development, preservation, and stability of affordable housing.",The City adopted a Sales Tax increase dedicated to affordable housing as part of an ongoing financing solution.
2.2.2,Pursue legislative change at the state and federal level that would create opportunities for new incentives and revenue sources.,HAND is collaborating with the Mayor's Office for the 2019 legislative session.
